ext_id,price,processed_ontology,size,special_price
9612,2190,desk_and_stationery,,
12122,790,jewelry,,
12123,790,jewelry,,
12699,2390,new,M,
13928,2440,bags,,
2103,1090,leggings,L,470
11916,1890,new,,
14196,1840,tops,,
11461,893,vases_and_accessories,,
14199,1840,tops,,
6947,570,pants,,
9917,1260,jewelry,,
8454,570,jewelry,,
11255,790,jewelry,,
6082,440,jewelry,,
6212,280,scarves,,
1767,540,dresses,,
6079,460,jewelry,,
12824,490,jewelry,,
7363,620,dresses,,
2253,600,skirts,,
6290,690,jewelry,,
8453,594,jewelry,,
6400,460,jewelry,,
7014,470,skirts,,
12480,790,scarves,,
10624,490,headbands,,
11348,1734,bags,,
5843,340,jewelry,,
4449,280,scarves,,
12479,790,scarves,,
2694,470,women_swimwear,,
11427,1590,jewelry,,
11405,660,jewelry,,
6060,740,flats,,
11097,1140,jewelry,,
11418,970,jewelry,,
12394,1290,jewelry,,
6280,560,tops,,
7692,918,jewelry,,
5939,340,jewelry,,
6023,770,flats,,
7709,786,jewelry,,
10615,2210,flats,,
8455,840,headbands,,
3439,860,jewelry,,
5839,400,jewelry,,
11072,380,jewelry,,
12234,940,headbands,,
8363,680,pants,,
3757,330,tops,,
3774,390,skirts,,
6723,400,shorts,,
10542,2390,bags,,
7331,610,bags,,
11349,2940,bags,,
5445,490,skirts,,
11311,1720,pants,,
7393,600,tops,,
11350,1790,bags,,
7781,410,bags,,
6224,370,shorts,,
3751,390,tops,,
6804,360,shorts,,
7776,340,bags,,
1714,540,tops,,
8292,640,bags,,
9232,2500,accessories>others,,
9329,1340,bags,,
11352,2094,bags,,
9230,2500,accessories>others,,
2283,380,tops,,
9049,590,dresses,,
12233,740,belts,,
3462,,,,
5174,460,dresses,,
6668,850,bags,,
9002,390,belts,,
12413,4190,women_swimwear,,
11970,5490,lighting,,
11481,1290,tops,,
12042,2190,tops,,
14318,1540,tops,,
10139,610,dresses,,
10585,540,tops,,
11123,490,tops,,
11385,540,pants,,
13830,2590,wall_art,,
11360,1190,serveware,,
12326,890,serveware,,
11877,640,,,
12186,1590,tops,,
12017,1720,dining__entertaining,,
14466,890,linens,,
9655,540,skirt,,
12085,2390,dresses,,
9554,470,tops,,
8476,510,tops,,
5685,510,dresses,,
8008,680,dresses,,
